Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 Mean
PSO + Logistic Regression,0.7466288147622427,0.5157116451016636,0.7459893048128342,0.6098360655737705,0.8216732542819499,0.7594473733633842
PSO + Random Forest,0.7530163236337828,0.524904214559387,0.732620320855615,0.6116071428571429,0.8348872355266216,0.8185353441096938
PSO + Gradient Boosting,0.7778566359119943,0.5653104925053534,0.7058823529411765,0.6278240190249703,0.8354969128626417,0.8214881205921578
PSO + XGBoost,0.7721788502484032,0.5572354211663066,0.6898395721925134,0.6164874551971327,0.832755948229094,0.8270697318331827
PSO + Neural Network,0.7650816181689141,0.5480984340044742,0.6550802139037433,0.5968331303288672,0.7981412591387016,0.8089465554856996
